timestamp,x,y,z,accuracy
1637591508074,-3.4199464,8.815047,4.003369,3
1637591508095,-3.2523599,8.934752,4.180532,3
1637591508114,-3.1470191,9.169374,4.1182857,3
1637591508134,-2.9171858,9.0640335,4.5587993,3
1637591508154,-2.7879045,8.637884,5.0902896,3
1637591508175,-2.945915,8.350593,5.1573243,3
1637591508205,-2.893245,8.522967,5.4302516,3
1637591508233,-2.893245,8.317075,5.72712,3
1637591508234,-3.2954535,8.135123,5.712755,3
1637591508249,-3.9274955,8.044148,5.77979,3
1637591508271,-4.305763,8.1734295,5.8468246,3
1637591508301,-4.71276,8.599579,5.4781337,3
1637591508313,-5.5171766,8.929965,5.1908417,3
1637591508327,-6.4221463,8.757589,5.2818174,3
1637591508348,-7.260081,9.016151,4.980161,3
1637591508368,-8.05971,9.2986555,5.1669006,3
1637591508392,-8.394884,8.920387,5.315335,3
